content,sentiment
Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready,anger
Packing  I don't like it..,anger
"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ...",anger
  i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!,anger
"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!",anger
night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit,anger
"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!",anger
Sooo.....I'm kinda o sick n tired of the bs that guys dish out  !!!!!!!!,anger
i just murdered two fucking mouses!!! now i cant sleep,anger
"sososo bummed, like really bummed, i hate this rain, ruin my date...",anger
"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead",anger
" make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times",anger
"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?",anger
Its weird being at the guy's house without them here. I don't like it,anger
"  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me",anger
Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood,anger
"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!",anger
Bummed that F! F! F! broke up,anger
" yes it was good 2 see them laught at each other,,but that poor lad asking his mum &amp; dad 2 kill him",anger
 Can't access your site!,anger
Its so Fucking hot! Damn no air conditioning.,anger
 I never liked that boy  Jerms!,anger
"this sucks i'm tweetless...and i f'n hate money, why does it have to be an issue",anger
dam it keeps rainin on me,anger
 err i think they're like 15 bucks a ticket cause its 3D too. too expensive,anger
Omg grr my parents left probably 15 minutes ago to belgium and typical i wake up a stupid o'clock,anger
Just watched The Goode Family premiere online... And I think this may be the last episode I watch. It's pretty amazingly mediocre  pass.,anger
and this stupid wireless wont work downstairs,anger
"Change my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~",anger
Have to go to work  typical sunshine and deep sleep; stupid friday.,anger
 it is so unfair that all the good rock shows happen only in B'lore and Pune,anger
almost everyone can suck my clit right about now. ive had it up to here with people fucking me over !,anger
says BAD TRIP! (angry)  ,anger
omg!!! mcdonalds combo and wendys sundae = puke material,anger
I really need to sort out a bird table and some feeders - the robins and blue tits are being bullied,anger
But why do I have to spend it in the office,anger
" M Jizzle I need u to Hit me too, ugghh I'm sick of this damn phone! Like seriously!",anger
 That sucks to hear. I hate days like that,anger
This train is so squeaky its givin me a sore head its bad enough i have to go to work!,anger
 Downside though is that you're breaking the thread.,anger
The Taxi Q at Pelangi was super loooong.. and now I'm getting headaches because of the hot-cold transition,anger
 I would be playing my old rogue but a friend took the account and could not get it back,anger
I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.,anger
&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo,anger
rah rah. youtube isn't working again. oh great,anger
 that sucks  what bout kate,anger
lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?,anger
my hsbc savings apy dropped to 1.55%. sort of feeling like pulling out all my money and keeping it underneath my mattress.,anger
"damn another day at the office, the sun is bursting from the sky...and the women are eh well...back to the keyboard",anger
  damned hordies,anger
Another Day gone by....  Have to wake up early again tomorrow,anger
i'm so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!,anger
 never invite,anger
Gday... Do you know if NHibernate has issues with COM Interop (VB6 &lt;-&gt; .Net Wrapper &lt;-&gt; .Net+NHibernate dll)? I'm getting crazy,anger
"  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?",anger
"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it worthed that much money..  hate that hairdresser~~;(",anger
he just fully yelled  saying dnt be so fcking stupid grow up! stop with this band shit then... throws the remote at me thnks love u2,anger
" Not a fan of the layout change of hyperlinks. I don't like the indentation and, well, I'm clicking and no link shows.",anger
My stomach is killing me do j can't sleep,anger
 I'm inclined to think it's stupid.,anger
Hates untalented bitches being mean to my talented friends,anger
Arghhh So annoyed-yet again gone 2 starbucks &amp; given skimmed milk instead of soy milk!! I can't have milk so hav 2 throw away! Expensive,anger
 the non-Europers managed to dump the sun here! its gonna be a hot time now!,anger
This is exactly y I hate driving thru dandy - sittin at lights next to a car of asians who r callin out to me &amp; 1 held up a knife  scum!,anger
 thanks dude. Being a low level business man its hard to get normal credit cards..also our place is not listed with any bank,anger
  yes it is. Sucks don't it,anger
why the fuck am I on twitter!!!,anger
"On way to exam, very very nervous  bah",anger
"is tryna find her a 30 yr old junt with a 401 k, stable job, good home with an extra room 4 me and my baggage..so tired of u young dudes",anger
Dang you internet. . . Its been down all night. . .,anger
 just launched twittix v1.10 - not convinced,anger
"im gonna die of a heart attack one of these days, if i keep going off to bed this pissed.  GGGGGGG'NITEEEEEEEE",anger
How freaking cold is it out in Sydney tonight...,anger
woke up from bad dream.  grrrr,anger
Any city person want to trade n live in the country? House comes w racoons n skunks livin under deck. *sigh*,anger
I hate it when this computer screws up and decides not to play sound on videos,anger
Waiting for my driver! Hate to wait!!!!!,anger
A central lesson of history is that States are parasites which always expand until they destroy their host population. - Stefan Molyneux,anger
 aww that sucks,anger
 nick's voice still makes me wanna kill things,anger
" yes, boo for soar throats and earaches!",anger
 again your fault  i didnt make u leave,anger
I'm pretty sure Isis has a tapeworm.  So she's allowed to snuggle with me all she wants tonight.,anger
got such sore feet,anger
FUCKSAKE i shouldn't smoke so much stuff.,anger
So damn tired! Another long day trw!,anger
"just woke up, I'm starving",anger
My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?,anger
 I will never forgive you for burying the erotica. You're snuffing out our love.,anger
"Had to fix bike chain on the way to work...arrived a filthy, bloody mess   lovely weather though!",anger
"wants to move to QLD already, this cold weather is killing me",anger
stuck in huge traffic jam,anger
hates typing on a mac. wishing that i'll be done my english essay soon.  sleeeepy,anger
"bah, i h8 waking up",anger
"i hate working, especially when the weather is good",anger
Have you ever stepped on a slug by accident? I just did  I hate bugs,anger
Shit week all fucking week  off to the gym now with the worst headache.,anger
my eyes are streaming!! i HATE hayfever  it's so bad even my tablets aren't working!,anger
 boo you didnt answer my text,anger
"my mind is racing ... b/c of 4 words he wrote.  I hate him, but I hate her most. ... and I can't keep from falling for him",anger
Bluedart takes a shipment all the way before figuring out &quot;No Deliver&quot; and then bring it back! Databases anyone?,anger
"Just been bitten by SmoothStreaming, it doesn't seem to work for my client's linux users...fan-fricking-tastic",anger
? MADAYA KA CHRISTIAN. BLEH!!! I HATE U  ,anger
I hate this bit,anger
This place blows! My UberTwitter isn't functioning here! Had to switch to TB,anger
Cars been dropped off for service and mot  getting the train home! Hate public transport!!,anger
Hydro drive abandoned after three miles,anger
hmz... second most popular page on this governmental site is the 404 page... fail,anger
 Too bad we're in Sweden where Up isn't up on the theaters  here until October,anger
"  firefox ok, but opera and IE - footer is not ok",anger
 no sorry twitter sucks balls since the replys change  #fixreplies,anger
"Shit shit, i didn't mean to dall asleep again, it's 9am, I wanted to be out by 9.30. Don't know why I'm so tired,I wasn't late last night",anger
Okay I'm seriously bored. I have nothing to do. I can't go out cause it's raining.,anger
Up earlier because of a stupid orthadontist appointment,anger
" Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  ",anger
"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ...",anger
" and the &quot;fuck  &quot; was because I dont get my gift!   I was SO exited about it, and it was sooo awesome...",anger
lost all my files since high school.,anger
it should be.. not a wink &gt;.&lt;,anger
; keeps getting such delayed responses. why is my internet so messed up?!,anger
is not paying ï¿½8 per hr for Internet access so may be limited to Twitter via txt,anger
"I remember when Vanessa first stepped on to the scene. She would give it up to the paps!  Now shes 2 famous I guess. Use us, abuse us!",anger
Was woken up by my screamin lil nefuew,anger
As predicted i feel lyk shit  gahh i hate bein ill!! At wrk tweet lata xx,anger
I feel so useless,anger
awhile ago it freaking hot! now it's wet  turn off!,anger
 omg are you going to see it?! another reason to not live in devon none of the f***in cinemas have the film im so annoyed,anger
Aaaaaaaa!! I hate fucking winshit!!,anger
"Think it may be time for a  lemsip soon, having a cold really sucks",anger
 Bastard! I want to be at the beach in the sun,anger
I bruised my toe worse than my I did my finger. It fuckin hurts right now even with ice on it,anger
" - I only get bubble tea during the cambodian new year - only once a year  &amp; when i do, i stand in line for over 10-15 min.",anger
 I will be ok when I have been to the drs again today and got my essay done  x howre you?? x,anger
Geography papers are so boring!  I hate revision!,anger
"urgh, my head is banging.",anger
 Ojee! That sucks...,anger
Oh fml its probs gunna be at shepards bush  i hate it there,anger
Anyone got any remedies for neck pain? Haven't been able to turn my head properly without a bad twinge for a few days now,anger
My record player has decided to die. Why on Friday night? Sad E  ,anger
I can't sleep ugh!! and I have shit to do all damn day tomorrow. Wanting to take a sleeping pill but I know Ill get up late,anger
 mother is hogging the TV,anger
Hates headaches! Maybe I'm not ready to rock,anger
 britain is shit,anger
 It was an app that changed your wallpaper to one of several hundred at random intervals. It's hard to find good wallpapers.,anger
"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!",anger
i never knew a dentention was so hard 2 get,anger
"trying to get used to twitter, i have a cold",anger
preparing for my spanish.. BAAAAAAAAAAH,anger
I am so damn hungry it's not even funny!,anger
 p.s. There is such thing as having too much sushi! Bleeeeah!,anger
What a gorgeous day!! And I'm going to be stuck in a lab for the next 9 hours or so,anger
  If you don't want to come then don't come. JEEEEEZ.,anger
i'm sick of waking up and feeling exhausted,anger
hate this fucking cold. i can't stop sneezing. and claratyne only works for an hr or 2,anger
in the mailbox already for 2 hours,anger
 i take it you're not a fan,anger
 Will have to it's only across the water and all. Just damned expensive,anger
i can't studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,anger
i know i was wrong. maybe i shouldnt did all of those fuckin things like that,anger
Hey now that I'm on a roll everybody in twitter-ville is sleeping  grrr I never WIN :/ ,anger
"Sick, sick, sick. This sucks. i can't even breathe properly",anger
sick of having constant bad dreams  grr,anger
 What can you say about Jayk??I'm pretty pissed at pretty much everything right now,anger
 more Demon Sam!! I need it to numb the pain  xXx,anger
" awh, thats not good,   get better soon!",anger
trying to draw some manga/anime for our new website ... very bad idea!   ,anger
Aww.. I lost 3 followers.  FOLLOW ME !,anger
don't want to go!!!,anger
"  yes indeed, makes it a bitch to try and design universally",anger
IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[,anger
" I can't view anything, Gerald. Not only am I banned, I can't even read the damn place.",anger
I am NOT in the mood for a long car drive,anger
stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing,anger
  - don't judge me. tucking myself in tonight  mogwai on repeat,anger
Getting very frustrated by people who don't know what they want... can't wait to go home tonight...,anger
 Why do I have to enter my registration details every time I update?,anger
 gosh! i hate it. my school will start in monday too.  and my classes will start 6.00 and end at 12.00 i'll never had a chance,anger
" i had terrible trouble with 'sp' words as a child, would drop the 's' pider, pade etc, needed lessons. bad memories",anger
 Oh stop boasting already.  I've got a horrible piece o' crap cellphone.  *pulls a tongue*,anger
hates having to be at work for six am,anger
Fed up today        No-one's available for comment,anger
 I was asleep until my brother woke me up asking me if I ate the rest of the frosted mini wheats. I can't go back to sleep.,anger
 ack! I just read about your show  that's horrible!!! No accounting for taste.,anger
" Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP",anger
 Not having Hulu in Germany sucks,anger
I can't think of a way to express in 140 chars how disspointed I am with the advertising on Lifehacker's Why I Didn't Buy A Mac article.,anger
"want to read twilight all day, not work at the stupid cher function",anger
" What's sad is that I actually had to google that term. That sucks, tho.",anger
not sure why I can't get tweetdeck to work on my computer. want to know what all of the hype is about,anger
suffering benadryl hangover this morning and a killer headache.... ugh!,anger
 Awww I HATE that one!!,anger
 I live in the Philippines. &gt;.&lt; and honestly i wanna live somewhere with snow!!,anger
"sorry paul scheuring, but prison break series finale sucked... in so many levels",anger
ugh damn! my usual babysitters graduation is on Wednesday and I just got a meeting request from my boss during her graduation,anger
school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee,anger
&quot;I'm giving up on you. I don't care how you mess up your life now.&quot;... :'(,anger
" Kev, fuck off! I'm stuck in Westgate working",anger
My generation is too fucking apathetic to party down in the desert. 30+ knows how to have fun and my age group is generation myspace?,anger
I never get invited to go anywhere,anger
"Sighs, well I accidentally clicked back space on my mouse",anger
I hate packing,anger
Seems like everyone I know is asking for computer help...   kill me now,anger
When r these DAMN exams ever gone b over and done with?  i wanna b out in the sun,anger
unemployment office sucks,anger
Can I get some gd news for gods sake,anger
I am doing Geography Revision on Earthquakes!  How Boring!!,anger
What a burden. Abit of a fail lunch with Dan,anger
"Right, fuck the whole Twitter silence experiment. The last four days have been murder with the inability to mouth off",anger
THE SUN IS SHINING&lt; THE SKY IS FACKING BLUE&lt; TELETUBBIES? I HAVE TO FUCKING WORK.,anger
 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,anger
"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better",anger
 I'm a minute in and I want to strangle the used car salesman doing the presentation. Is he related to the ShamWOW guy?,anger
rt :  ughhhh got fuckin pulled over for talkin on my cell in a school zone  FUCK HIGHLAND PARK POLICE rude mofo,anger
Im sure the 5 ppl who came in after me will be seen by a dentist before I will,anger
" Gain an instant follower, just use the #tits tag in a tweet. WTF? Lesson learned, Summer of Todd to get a new *official* tag.",anger
Confuzzled,anger
"Stuck in an office, red hot",anger
Really? 87 degrees as the high and I'm on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,anger
 - My poor car,anger
 I have my 830 class  fuckin school! what time you work wed? if jade comes ima have to get her in antioch at amtrak.,anger
 rubbish!,anger
The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.,anger
Some idiot just crashed into me on his bike.  Now my bike has a small dent in it and I have to buy a new set of pedals,anger
Locked out of my fucking house!,anger
Trying to recover photos after a problem between Windows and my XD card. Result: shots are all half visible  damn Microsoft...,anger
i hate history coursework sooo much,anger
"just got a haircut, NOT happy!",anger
"Tweetiful people, I am sick.",anger
 It just sucks that I'm stuck in an office  but I have you at Selfridges to look forward too.,anger
  works sucks without being able to stream KWOD,anger
i hate feeling like this about him  i need a break away from everyone... as soon as exams are over i'm defo off to portsmouth for a bit,anger
"EVIL CREDIT CARD COMPANIES!!  God, and just when I was starting to *build* my credit again - I get this stupid 'ding' from them!",anger
Gahh ! This weather sucksss !,anger
I really like how the weather widget on imac and iphone always predict different weather...not!,anger
 He is the truth! But what about Maxwell? You can't forget the future father of my children!,anger
"urgh, i really hate that medicine",anger
feels so used I hate guys grrrr,anger
 that sucks!,anger
 not a fan,anger
Kyles going out of town this weekend  play time wif my fwiends. Rawrrr.,anger
 Grrr. We don't finish until July 3rd.,anger
"can't gauge the time of day in my office anymore... It's worse than a friggin' casino in here... no waitresses, smoking, or booze",anger
 my internet is being a ***** again!!! wtf. i think im gonna sleep afterward. internet is driving me crazyyy!,anger
"Back in Glasgow, stuck in traffic on the M8",anger
 omgsh i know  i'm dealing with that rite now. its no fun!,anger
Getting ready for week  Its too nice today to be stuck inside working!,anger
I hate going to the dr  just wasted 1 hour and a half for them to say my back pain is probly depression or stress. Duhh! I need it fixed,anger
 smh Your whin with that comment,anger
FML. . .i have the worst paper cut on my knuckle from all the papers i was handling. i hat this damn research paper!!!,anger
i HATE U.S. history,anger
"aahhh! nyc placements have started to come out, but it looks like upgrades have to wait yet another two weeks for placements! dreadfully",anger
lousy mofo landlord.   need to focus on kid's packing but cant . nevermind sew sleeping bag,anger
Ugh! I can't access through my mobile web!,anger
 She has her perfect moments. She just broke one of the tiles on the floor in the hallway. I don't find her very perfect now.,anger
 UGH I HATE QUEUEING,anger
Weather sucks!!... It's raining again!!,anger
hates this weather,anger
 are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!,anger
FACT 1: iHate DirecTV OnDemand w/a passion that burns w/the white hot intensity of 1000 suns. FACT 2: iMiss Comcast. Like a lot,anger
Yukky  Rainy Friday,anger
I was awoken by loud banging and it continues all day  Good thing I got an early rest last night!,anger
 That sounds shitty too.,anger
" Hiya hun! It's just not my day. Dentist appointment (ouch!),notebook being a bitch. Feeling sick  How's you?",anger
Infamous should have arrived today. But it didn't...,anger
  it so sucks not having fast internet   dial up sucks everything takes to long to load no way i would have won,anger
 my thoughts exactly re: leaving my 3 dogs. They al hate when they see the luggage come out,anger
 Amen to that! My vitamins made me so ill  I felt better before i started taking them!,anger
  dont listen..he do him..but I tried not taking a nap yesterday and I still was up til 1am and than I got up at 7am,anger
i have no idea wtf im doing,anger
i hate the biatches of this world,anger
I hate when it's cloudy. I either want it to be all sunny or raining. It's cloudy,anger
I have had it with job hunting. I try all day and nothing works  I bet I couldn't even work at the strip club because of my cider belly!,anger
 :-S weirdo leave him alone,anger
 Link to ff &quot;how it works&quot; is broke!,anger
"ow, I just rolled over my toe with my desk chair.",anger
 u suck! had i went to jail i couldnt tweet anymore,anger
Got the sniffles   I SO don't want to get sick - I don't need this.,anger
"Just got woken up by my mom... Our ENTIRE first floor is flooded. All our furniture, curtains, moms expensive rugs.... Soaked and ruined",anger
 bugger didn't know that  shame people have to stick there nose in!,anger
I HATE FLORISTS  No rose for cassadee tomorrow now =/ fricken fag florist people ={ hmm..need something else...hmm...,anger
 not impressed....! it might go away if you complain too much!  x,anger
i hate my new section this school year.. huhu..,anger
Stupid kubuntu keeps on freezing on me. I thought linux never freezes,anger
"'s going to Disney World, lucky bitch.",anger
"TGIF I don't like 12 hour workdays  I need to stand up, run around 4 a while.... too much sitting!!! Plus, I have honest ade tea 2day! YAY",anger
 yeah sucks eh!,anger
" Michelle, I slept for 11 hours last night. I'm still stick with this fever.",anger
ive very picky about what i put in my mouth. i hate onions. they make me cry  ),anger
in about half a hour i'm going to my english lesson...guess i'll have to wait...and wait for a couple hours so i'm over with it.(( :S   )),anger
This class is really long and I'm really getting hungry,anger
GIVE A HATER A Hug ? Why would you do that? I don't like mwean people,anger
 it's not working here,anger
Stupid MSN It wont let me onnnn,anger
"so disappointed with human kind   &quot;What's wrong with the world?&quot;  I have five girls in the garden, innocently enjoying the good weather...",anger
Working  god I hate it haha,anger
 Ooo you is back!  Good time? and argh! It hurtssssssssssssssssssssssssssssssssss!  Xx Hate headaches!,anger
fuck you ipod for freezing when i need you most,anger
 me too i hate revision,anger
  o2 - train from Bristol to London. It's terrible - and no wifi,anger
 no news on the kid. They can't find the parent!,anger
stupid HIP!! I hate you!! And I can't even break in my new kicks!!!  GRRRR!,anger
 no I was too slow  I hate getting the trailhead then not getting in.,anger
just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,anger
A thursday. Is that REALLY necessary  ? Have u ever heard of school and horrible mums,anger
"We waste way too much paper @ the office... for nothing worthy, that almost disgust me",anger
im tweeting... this is so hard... i dont get it...,anger
 You look nothing like your Twitter avatar!,anger
hate living down here in fl. missing GA like crazy...like they say you dont know what you got till its gone  GA on my mind,anger
i have geographie next  and I HATE IT!!!!!!!,anger
I hate that I am so stinkin tired everyday!  It's so hard to get up...I thought I was supposed to start getting energy back now.,anger
fuck you tony,anger
"Is waiting, yet again. please, just let this to be over",anger
Open office &quot;writer&quot; is weird. I need Word to open word documents correctly,anger
Shower. Then back to bed. So sick still.,anger
Weather sucks. APUSH filming has become a maybe  At least banquet is tonight,anger
im grounded tonight  i hate stupid silent mode,anger
Then back to fucking school,anger
" it's a modded 360, so you can't send it back?  That Red Ring of Death sucks!  It took weeks to get mine back from Microsoft.",anger
My new car is already giving me problems  That cant be a good sign.,anger
:  nou moe... stomme banken/crisis shit :S,anger
 That link isn't working for me for some reason,anger
Just dropped my sistah off @ lax.    #fb,anger
 reeeaaaally... why though??  ew i hate stockings,anger
has not finished the bio mols mind map  stupid sheet hid sections from me on the back!,anger
aaaaaaaaaaa McFly,anger
So booooored  I learned this though! ????????,anger
Worst day ever. And its only noon.,anger
i want a ghd straightener but the shipping costs 50 pounds? NO DEAL!,anger
" I've been waiting about the same time to get in, its whenever they feel like it...",anger
Son of a bitch...my media thing that streams music from home isn't working again  Why can't itunes play music from my iphone,anger
 its not a starfleet one  its not even a romulin one  its like the random one i dont remember ha. and you cant wear it! lame,anger
 lol... i've been in Bk for over a year... going on 2 and u haven't come yet!!!,anger
"I told andrew that JT is going to cameo @ MTV movie awards. He said, &quot;he's pissing me off.&quot; guess they're in a fight",anger
"Frustrating when u r in the mood, but your partner is at work. Ugh!",anger
"  ....what did she EVER do to piss them off?    I thought you just meant casting-related wank, not more of that crap.",anger
Last Friday of Highschool...that's intense! One more test to go...economics. Ewww man!,anger
Ugh i hate not having my car!! i miss you my little ford focus!!!,anger
i'm getting ready for tonight (teachers dinner on the beach!) but it's raining and i hate this!,anger
French isn't meant to be taught to asians,anger
"Damn, need to replace MacBook display. CHF 670 for work and hardware - almost half of the MB price",anger
So I got the day off cuz I had hundreds of things to do....then I woke up with a f*ckin migrane...there goes my day in bed,anger
 yeah that is the one thing i hate about tweetdeck,anger
Just look @ this hellacious desk...good grief  ,anger
I hate hiccups,anger
hates putting in new contacts,anger
English exam! Bleh i hate vocab,anger
Shout out to my moms for wakin me up so prematurely! Preciate it,anger
"Holy crap...Sharapova is taking a beating from an unseeded qualifier...ok, o back to doubles!",anger
Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo,anger
 - ughhh!!! have to go back there tonight,anger
"Today i Know, My Life Is Empty...  Thats sad but real!!",anger
 my keys were cracking and crap. I kind of miss my old phone already.,anger
Too hot. Station isn't packed but train packed. No windows open on train. Roasted sardines.,anger
" Haha k we should stop here. If not, it's going to turn into a bitching section. Ohwell, my parents just came home",anger
"grr!  i hate being damn near forced to go places.  especially to sit on a bus for an entire day just to sit in a house in podunktown, va",anger
My TweetDeck is languishing in API Hell. Again.,anger
  u guys are soo unfair smh...,anger
"Oh god, a moth was living in a fucking power outlet!  (Actually, my PowerSquid.)",anger
 me too. I hate my computer so much..,anger
so much for an amazing day...some pervert just ruined it,anger
my feet are cold.....i hate when my feet get cold,anger
"my zoids torrent crashed after 8 hours of downloading.  it was only 6% done at that time, because apparently i'm the only zoids fan ever.",anger
"FreeSat's coverage (Sky dish) is really, really bad at the moment, blocks all over the place, really annoying!  ",anger
projects suck,anger
And my basketball is flat and there was a massive spider in my pavement chalks  Now the sun has gone in. FML.,anger
has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.,anger
" if I do that, I'll have no pc",anger
having a reli gd holiday .. buh now have to revise  x,anger
 what's up? what happened? DM me if you need to. TXT on my phone is defunk'd,anger
"Hello!Im back andIm drunk,  and as much asI love my friends,I hate how they unintentionally make me feel inadequate.Ineedhelp",anger
Jealousy makes u into a different person ... I freakin hate being this way  gotta suck it up I guess,anger
" Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;",anger
Had the hottest and stressiest day at work  f the area manager. So happy to be going home!,anger
 man that sucks.,anger
  its awful. Xxxx,anger
oh i hate friday evening.,anger
" Oh, I forget things you see. Ahah. I hated that! It creeped me out.",anger
 I'm still at work,anger
  omg you guys will know when I'm getting nasty!!  My head hurts,anger
Waiting in a long line at chick-fil-a,anger
I need a blankie  this trains an icebox,anger
Came home after getting ratty in a shop with the staff and a blister on the foot. Meh,anger
Flip flops are a menace! I've cut one of my feet  Ouchies.,anger
 That sucks.,anger
Just here at work........just got out of a meeting with my staff.... I had to be the big bad boss today.,anger
why the hell is it raining!! i hate the rain.,anger
  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.,anger
" ooh if youre on the computer making your playlist come online pls, im bored now that ive blocked everyone again",anger
Twenty minutes on a fucking call you would think that the person would mention there is already a trouble ticket investigating the issue,anger
 Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. ,anger
" Oh, I'm so sorry. I feel your pain. I can't kill them either, and I'm always the one that finds them. Why is that?",anger
ahh I hate being sick  Watching atonement! and sleeping,anger
 I hate June gloom. I was getting so excited for the beach.,anger
1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb,anger
God I HATE scary movies. They are not fun at all. I'm such a wimpy.,anger
"ebay should just die! after not using my account for 4 years, i cant unlock it. and their support is dead, aka: auto-hello-scripts",anger
 this is a travesty,anger
6 freakin days!!  Just a thought...what would I have to look forward to after this?,anger
"left school just now. my new dress broke, the strap ripped off",anger
Got the keys to my new flat - gorgeous weather for weekend - and i'm spending it &quot;PACKING&quot;,anger
"I am up, and having to deal with another rainy day  What the hell happened to summer, its so freakin cold!",anger
Just got to work  Today is going to be another long ass day!,anger
Walking to class. I hate not having a bike....especially mine.,anger
